TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,B6
ATR 72,TRAVIRA,CHARTER,A2
G IV,AFM,CHARTER,SA02
G V,TRAVIRA,CHARTER,B7
ATR 72,CITILINK,Komersial,A2
A 320,CITILINK,Komersial,B9
ATR 42,IAT,CHARTER,A3
G V,AFM,CHARTER,B4
ATR 72,TAS,CHARTER,RW06
LJ 55,B. G. S.,CHARTER,B10
L 1000,PREMI,CHARTER,SA05
B 733,TRIGANA,cargo,B12
G VI,PREMI,CHARTER,B1
B 735,CITILINK,Komersial,B11
ATR 72,PELITA,Komersial,A1
A 320,BATIK AIR,Komersial,SA06
A 320,BATIK AIR,Komersial,B7
B 738,TNI AU,Militer,BASEOPS
ATR 42,IAT,CHARTER,RW10
A 320,BATIK AIR,Komersial,A3
B 777-200,KARISMA,CHARTER,SA03
GLEX,KARISMA,CHARTER,RE03
A 320,BATIK AIR,Komersial,B1
B 734,B. B. N.,CHARTER,B10
A 320,CITILINK,Komersial,B7
B 733,JAYAWIJAYA,cargo,B9
EC 135,PREMI,CHARTER,SA04
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B1
B 738,GARUDA,Komersial,B2
BBJ 2,PTN,CHARTER,SA07
ATR 72,TAS,CHARTER,B4
GLEX,PREMI,CHARTER,B3
G VI,PREMI,CHARTER,B6
B 733,TRI MG,cargo,B12
HK 900,KARISMA,CHARTER,B4
A 320,BATIK AIR,Komersial,A3
CL 850,PREMI,CHARTER,B8
GLEX,KARISMA,CHARTER,B5
ATR 72,FLY JAYA,Komersial,B2
B 733,TRIGANA,cargo,B13
C 208,SUSI AIR,Komersial,A1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B4
ATR 72,CITILINK,Komersial,B6
A 320,BATIK AIR,Komersial,B1
FAL 7X,AFM,CHARTER,B3
G VI,AFM,CHARTER,SA07
A 320,BATIK AIR,Komersial,A3
HK 800,JETSET,CHARTER,B5
B 733,TRI MG,cargo,B11
FAL 7X,AFM,CHARTER,SA08
ATR 72,FLY JAYA,Komersial,B1
PIPER PA 34,GENESA,CHARTER,SA09
A 320,BATIK AIR,Komersial,A1
A 320,CITILINK,Komersial,B2
PIPER PA 34,GENESA,CHARTER,SA13
GLEX,BIOMANTARA,CHARTER,SA09
B 738,GARUDA,Komersial,B4
B 735,CITILINK,Komersial,B12
B 733,JAYAWIJAYA,cargo,B9
ATR 72,CITILINK,Komersial,A2
G IV,JETSET,CHARTER,B7
A 320,BATIK AIR,Komersial,A1
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,A3
G IV,JETSET,CHARTER,SA02
ATR 72,TRAVIRA,CHARTER,B2
A 320,BATIK AIR,Komersial,B7
GLEX,KARISMA,CHARTER,B5
B 733,TRIGANA,cargo,B11
GLEX,KARISMA,CHARTER,SA10
A 320,BATIK AIR,Komersial,B1
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,A2
ATR 72,PELITA,Komersial,A1
A 320,CITILINK,Komersial,A3
LJ 55,AMM,CHARTER,B7
A 320,CITILINK,Komersial,B1
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,B8
LJ 55,AMM,CHARTER,NSA14
ATR 72,CITILINK,Komersial,A3
HK 800,JETSET,CHARTER,B4
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B4
B 738,GARUDA,Komersial,B5
HK 800,JETSET,CHARTER,NSA18
ATR 72,TAS,CHARTER,B1
B 735,CITILINK,Komersial,B13
CL 850,PREMI,CHARTER,B3
A 320,BATIK AIR,Komersial,B8
A 320,CITILINK,Komersial,B2
HK 900,KARISMA,CHARTER,B4
A 320,BATIK AIR,Komersial,B9
A 320,BATIK AIR,Komersial,B6
B 733,TRIGANA,cargo,B7
ATR 72,TAS,CHARTER,SA05
B 733,TRIGANA,cargo,B11
ATR 42,IAT,CHARTER,SA11
B 733,JAYAWIJAYA,cargo,B10
B 738,GARUDA,Komersial,B1
B 735,CITILINK,Komersial,SA12
B 733,TRIGANA,cargo,SA13
A 320,BATIK AIR,Komersial,SA14
A 320,BATIK AIR,Komersial,A2
EMB 135,KARISMA,CHARTER,SA15
CL 850,JETSET,CHARTER,B6
EMB 135,KARISMA,CHARTER,B4
G IV,JETSET,CHARTER,B3
A 320,BATIK AIR,Komersial,A1
B 733,TRI MG,cargo,B12
GLEX,AFM,CHARTER,B8
HK 800,AFM,CHARTER,B5
RJ 85,SETNEG,CHARTER,BASE OPS
A 320,BATIK AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,B2
C 208,SUSI AIR,Komersial,B1
B 734,B. B. N.,CHARTER,B13
A 320,BATIK AIR,Komersial,A1
FAL 7X,AFM,CHARTER,B4
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,A3
ATR 72,CITILINK,Komersial,B2
CL 850,JETSET,CHARTER,B5
A 320,BATIK AIR,Komersial,A2
HK 800,JETSET,CHARTER,B4
A 320,BATIK AIR,Komersial,A1
B 738,GARUDA,Komersial,B2
B 733,TRI MG,cargo,B11
ATR 72,FLY JAYA,Komersial,B1
A 320,CITILINK,Komersial,A3
B 735,CITILINK,Komersial,B12
GLEX,AFM,CHARTER,B7
A 320,BATIK AIR,Komersial,A1
B 733,TRIGANA,cargo,B10
A 320,BATIK AIR,Komersial,B1
ATR 72,CITILINK,Komersial,A2
A 320,BATIK AIR,Komersial,A3
C 208,SUSI AIR,Komersial,A0
A 320,BATIK AIR,Komersial,B2
EMB 135,KARISMA,CHARTER,B5
B 733,TRIGANA,cargo,B9
G 500,JIP,CHARTER,B4
EMB 135,KARISMA,CHARTER,RW04
C 130,JAS,CHARTER,SA02
A 320,BATIK AIR,Komersial,A2
G IV,JIP,CHARTER,B7
ATR 72,FLY JAYA,Komersial,B1
G IV,JETSET,CHARTER,B3
A 320,BATIK AIR,Komersial,A1
B 733,JAYAWIJAYA,cargo,B13
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B8
ATR 72,CITILINK,Komersial,A2
B 738,GARUDA,Komersial,B2
A 320,CITILINK,Komersial,A1
ATR 72,PELITA,Komersial,A3
G IV,JIP,CHARTER,B4
G IV,JETSET,CHARTER,SA02
A 320,BATIK AIR,Komersial,B7
GLEX,PREMI,CHARTER,B3
B 733,JAYAWIJAYA,cargo,SA08
EMB 135,KARISMA,CHARTER,B5
EMB 135,,CHARTER,SA12
EMB 135,JETSET,CHARTER,SA13
EMB 135,,CHARTER,SA14
B 735,CITILINK,Komersial,B13
A 320,BATIK AIR,Komersial,A1
EMB 135,,CHARTER,SA16
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,A1
B 733,TRI MG,cargo,B12
B 734,B. B. N.,CHARTER,B10
G 7500,PREMI,CHARTER,B3
G IV,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,B8
A 320,CITILINK,Komersial,B9
B 733,TRIGANA,cargo,B13
G IV,JIP,CHARTER,RE01
B 735,CITILINK,Komersial,SA17
A 320,BATIK AIR,Komersial,A1
B 738,GARUDA,Komersial,B2
B 733,TRIGANA,cargo,B12
B 733,TRI MG,cargo,SA18
ATR 72,TAS,CHARTER,B1
C 208,PTN,CHARTER,SA05
B 733,TRI MG,cargo,B11
G VI,KARISMA,CHARTER,B3
A 320,BATIK AIR,Komersial,A3
G IV,JIP,CHARTER,B4
ATR 72,FLY JAYA,Komersial,B1
HK 400,POLICE,CHARTER,B5
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A3
B 734,B. B. N.,CHARTER,B13
G VI,KARISMA,CHARTER,B4
ATR 72,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B1
EMB 135,KARISMA,CHARTER,B5
AW 139,PREMI,CHARTER,B7
C 208,PTN,CHARTER,SA19
AS 350,DERAZONA,CHARTER,WR01
G VI,KARISMA,CHARTER,B10
C 208,SUSI AIR,Komersial,A0
B 734,B. B. N.,CHARTER,SA05
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,A1
ATR 72,FLY JAYA,Komersial,B3
B 738,GARUDA,Komersial,B2
B 735,CITILINK,Komersial,B13
A 320,CITILINK,Komersial,B1
B 733,JAYAWIJAYA,cargo,B11
EMB 135,AFM,CHARTER,B4
A 320,BATIK AIR,Komersial,B9
ATR 72,CITILINK,Komersial,B1
G IV,AFM,CHARTER,B5
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A1
C 208,PTN,CHARTER,SA19
B 733,TRIGANA,cargo,B12
G IV,JIP,CHARTER,B3
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,A2
G VI,PREMI,CHARTER,B2
EMB 135,KARISMA,CHARTER,B8
A 320,BATIK AIR,Komersial,A1
ATR 72,FLY JAYA,Komersial,A3
G IV,JIP,CHARTER,SA01
EMB 135,KARISMA,CHARTER,SA08
HK 400,POLICE,CHARTER,B5
A 320,CITILINK,Komersial,B1
ATR 72,TAS,CHARTER,A1
G VI,KARISMA,CHARTER,B4
ATR 72,CITILINK,Komersial,A2
B 738,GARUDA,Komersial,B4
ATR 72,PELITA,Komersial,A3
C 208,PTN,CHARTER,SA19
A 320,CITILINK,Komersial,B2
HK 800,AFM,CHARTER,B5
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,B6
B 733,TRIGANA,cargo,B12
B 733,TRIGANA,cargo,SA16
ATR 72,PELITA,Komersial,SA17
B 735,CITILINK,Komersial,B11
B 734,B. B. N.,CHARTER,B13
C 208,PTN,CHARTER,SA19
HK 800,AFM,CHARTER,NSA12
A 320,BATIK AIR,Komersial,B1
ATR 72,TAS,CHARTER,SA05
A 320,CITILINK,Komersial,A1
A 320,BATIK AIR,Komersial,B8
B 738,GARUDA,Komersial,B2
B 735,CITILINK,Komersial,SA11
A 320,PTN,CHARTER,B1
C 208,PTN,CHARTER,SA18
CL 850,PREMI,CHARTER,B3
A 320,BATIK AIR,Komersial,A3
C 208,PTN,CHARTER,SA18
B 734,B. B. N.,CHARTER,B13
ATR 72,FLY JAYA,Komersial,B2
HK 800,JETSET,CHARTER,B4
G IV,JIP,CHARTER,B6
A 320,BATIK AIR,Komersial,A1
A 320,BATIK AIR,Komersial,A2
C 208,SUSI AIR,Komersial,A0
ATR 72,CITILINK,Komersial,B1
B 733,TRIGANA,cargo,B12
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A1
EMB 135,PTN,CHARTER,B7
ATR 72,FLY JAYA,Komersial,B1
C 208,PTN,CHARTER,SA01
A 320,CITILINK,Komersial,A3
B 738,GARUDA,Komersial,B2
G IV,JIP,CHARTER,B4
CL 850,PREMI,CHARTER,B3
CL 60,KARISMA,CHARTER,BASEOPS
B 735,CITILINK,Komersial,B11
A 320,BATIK AIR,Komersial,A1
EMB 135,KARISMA,CHARTER,B8
A 320,BATIK AIR,Komersial,B6
CL 60,KARISMA,CHARTER,SA11
ATR 72,CITILINK,Komersial,B5
C 208,PTN,CHARTER,SA01
B 733,JAYAWIJAYA,cargo,B10
A 320,BATIK AIR,Komersial,B2
A 320,BATIK AIR,Komersial,A3
BBJ,JIP,CHARTER,B9
A 320,BATIK AIR,Komersial,A1
BBJ,JIP,CHARTER,SA14
ATR 72,FLY JAYA,Komersial,B1
G IV,AFM,CHARTER,B5
A 320,BATIK AIR,Komersial,A1
A 320,CITILINK,Komersial,B2
G V,PREMI,CHARTER,B4
C 208,SUSI AIR,Komersial,A3
C 208,SUSI AIR,Komersial,A2
B 733,TRIGANA,cargo,B11
A 320,CITILINK,Komersial,B2
B 738,GARUDA,Komersial,B1
G 500,JIP,CHARTER,B3
ATR 72,CITILINK,Komersial,B7
G V,PREMI,CHARTER,SA01
B 733,JAYAWIJAYA,cargo,SA16
G IV,AFM,CHARTER,SA18
G IV,JIP,CHARTER,B4
C 208,SUSI AIR,Komersial,A0
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A3
EMB 135,PTN,CHARTER,B3
A 320,BATIK AIR,Komersial,A1
A 320,BATIK AIR,Komersial,B1
B 735,CITILINK,Komersial,B13
B 734,B. B. N.,CHARTER,SA22
A 320,BATIK AIR,Komersial,A2
EMB 135,AFM,CHARTER,B3
B 733,TRIGANA,cargo,B12
B 733,TRI MG,cargo,B11
EMB 135,KARISMA,CHARTER,B5
G V,AFM,CHARTER,B4
RJ 85,SETNEG,CHARTER,BASE OPS
GLEX,PTN,CHARTER,B3
A 320,BATIK AIR,Komersial,A2
B 733,TRIGANA,cargo,B10
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B9
EMB 135,KARISMA,CHARTER,SA19
A 320,BATIK AIR,Komersial,A2
G IV,JIP,CHARTER,B4
B 738,GARUDA,Komersial,B2
ATR 72,PELITA,Komersial,A3
GLEX,PTN,CHARTER,SA17
GLEX,PREMI,CHARTER,SA20
ATR 42,IAT,CHARTER,SA21
HK 800,JETSET,CHARTER,B3
HK 800,JETSET,CHARTER,NSA14
B 733,TRIGANA,cargo,B12
A 320,BATIK AIR,Komersial,A3
CT 680,JIP,CHARTER,B3
ATR 72,FLY JAYA,Komersial,B2
C 208,SUSI AIR,Komersial,A
A 320,BATIK AIR,Komersial,A1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B1
ATR 72,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B1
G VI,AFM,CHARTER,B4
ATR 72,FLY JAYA,Komersial,B3
AW 139,PREMI,CHARTER,B7
A 320,CITILINK,Komersial,B1
B 738,GARUDA,Komersial,B2
B 733,TRIGANA,cargo,B12
A 320,BATIK AIR,Komersial,A3
CN 235,JAS,CHARTER,B6
GV,PREMI,CHARTER,B5
B 733,TRIGANA,cargo,B11
A 320,BATIK AIR,Komersial,A2
ATR 72,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B7
PH 300,KARISMA,CHARTER,BASEOPS
ATR 42,IAT,CHARTER,B3
A 320,BATIK AIR,Komersial,A3
ATR 72,PELITA,Komersial,A1
B 735,CITILINK,Komersial,B13
A 320,BATIK AIR,Komersial,A2
ATR 72,FLY JAYA,Komersial,B1
CL 60,KARISMA,CHARTER,BASEOPS
A 320,BATIK AIR,Komersial,B8
C 208,SUSI AIR,Komersial,A0
CT 680,JIP,CHARTER,B5
ATR 72,PELITA,Komersial,SA11
G 500,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,A1
A 320,CITILINK,Komersial,A3
B 738,GARUDA,Komersial,B2
KING AIR,DEPHUB,CHARTER,B13
CL 850,JETSET,CHARTER,B7
BBJ,JIP,CHARTER,B9
A 320,CITILINK,Komersial,B1
CT 680,JIP,CHARTER,NSA19
CL 850,JETSET,CHARTER,SA07
ATR 72,CITILINK,Komersial,A2
A 320,BATIK AIR,Komersial,B3
A 320,BATIK AIR,Komersial,A3
B 735,CITILINK,Komersial,B12
A 320,BATIK AIR,Komersial,A1
A 320,BATIK AIR,Komersial,A3
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B7
B 733,TRIGANA,cargo,B11
B 738,GARUDA,Komersial,B2
B 733,TRIGANA,cargo,B10
EMB 135,PTN,CHARTER,B3
ATR 72,TAS,CHARTER,A1
BBJ,JIP,CHARTER,BASEOPS
C 172,GENESA,CHARTER,SA05
KING AIR,DEPHUB,CHARTER,B13
EMB 135,PREMI,CHARTER,B6
CT 680,JIP,CHARTER,B5
B 733,TRI MG,cargo,B9
B 733,TRIGANA,cargo,B11
A 320,BATIK AIR,Komersial,A1
ATR 72,FLY JAYA,Komersial,A2
A 320,BATIK AIR,Komersial,B5
A 320,BATIK AIR,Komersial,A3
C 208,SUSI AIR,Komersial,A0
ATR 72,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A1
PH 300,PURAWISATA,CHARTER,B4
EMB 135,IAT,CHARTER,B3
A 320,BATIK AIR,Komersial,A2
C 208,SUSI AIR,Komersial,A3
A 320,BATIK AIR,Komersial,A1
ATR 72,FLY JAYA,Komersial,B1
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,A1
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A3
ATR 72,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B8
A 320,BATIK AIR,Komersial,A2
EMB 135,KARISMA,CHARTER,B6
G IV,JETSET,CHARTER,B4
C 172,PTN,CHARTER,NSA13
CT 680,JIP,CHARTER,B5
B 733,TRIGANA,cargo,B11
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B7
B 733,TRI MG,cargo,B10
ATR 72,TAS,CHARTER,A1
A 320,BATIK AIR,Komersial,A3
A 320,CITILINK,Komersial,B2
B 738,GARUDA,Komersial,B3
ATR 72,CITILINK,Komersial,A2
A 320,CITILINK,Komersial,B2
CT 680,JIP,CHARTER,NSA14
B 734,B. B. N.,CHARTER,B12
A 320,BATIK AIR,Komersial,B6
B 733,TRIGANA,cargo,B9
HK 800,JETSET,CHARTER,NSA15
EMB 135,PTN,CHARTER,B3
B 735,CITILINK,Komersial,B12
EMB 135,PTN,CHARTER,SA14
ATR 72,TAS,CHARTER,SA18
G VI,AFM,CHARTER,B3
A 320,BATIK AIR,Komersial,B1
A 320,CITILINK,Komersial,A3
A 320,BATIK AIR,Komersial,B5
A 320,BATIK AIR,Komersial,A1
B 734,B. B. N.,CHARTER,B11
ATR 72,PELITA,Komersial,B2
B 738,GARUDA,Komersial,B1
HK 800,AFM,CHARTER,B4
EMB 135,PTN,CHARTER,B8
A 320,BATIK AIR,Komersial,SA05
B 734,B. B. N.,CHARTER,SA02
KING AIR,DEPHUB,CHARTER,B13
B 733,TRIGANA,cargo,B11
B 733,TRI MG,cargo,B10
CL 850,JETSET,CHARTER,B5
HK 800,JETSET,CHARTER,B2
A 320,BATIK AIR,Komersial,A2
ATR 72,FLY JAYA,Komersial,B1
C 208,SUSI AIR,Komersial,A0
B 733,TRIGANA,cargo,B10
A 320,BATIK AIR,Komersial,A1
A 320,BATIK AIR,Komersial,A2
G VI,KARISMA,CHARTER,B5
A 320,BATIK AIR,Komersial,A3
ATR 72,CITILINK,Komersial,B1
CL 850,JETSET,CHARTER,B7
CL 850,JETSET,CHARTER,B4
EMB 135,KARISMA,CHARTER,B6
LJ 55,B.G.S,CHARTER,B8
A 320,BATIK AIR,Komersial,A1
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,B1
B 733,TRI MG,cargo,B12
A 320,CITILINK,Komersial,A1
B 738,GARUDA,Komersial,B2
A 320,BATIK AIR,Komersial,A2
B 734,B. B. N.,CHARTER,B11
ATR 72,CITILINK,Komersial,A3
A 320,BATIK AIR,Komersial,B7
B 735,CITILINK,Komersial,B9
A 320,BATIK AIR,Komersial,A2
C 208,SUSI AIR,Komersial,A0
B 733,JAYAWIJAYA,cargo,B10
GLEX,AFM,CHARTER,B7
A 320,BATIK AIR,Komersial,A1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B8
EMB 135,KARISMA,CHARTER,B4
ATR 72,PELITA,Komersial,A1
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A2
CL 850,JETSET,CHARTER,B4
GLEX,AFM,CHARTER,SA01
EMB 135,KARISMA,CHARTER,SA04
ATR 72,CITILINK,Komersial,A3
A 320,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B9
A 320,BATIK AIR,Komersial,B7
B 733,TRIGANA,cargo,B11
EMB 135,KARISMA,CHARTER,B6
HK 800,AFM,CHARTER,B3
EMB 135,IAT,CHARTER,B5
A 320,BATIK AIR,Komersial,A2
ATR 72,PELITA,Komersial,SA06
CL 850,JETSET,CHARTER,SA07
A 320,BATIK AIR,Komersial,A1
EMB 135,KARISMA,CHARTER,SA12
G VI,AFM,CHARTER,B4
B 734,B. B. N.,CHARTER,B10
HK 800,AFM,CHARTER,NSA12
B 735,CITILINK,Komersial,B9
B 733,JAYAWIJAYA,cargo,B7
A 320,BATIK AIR,Komersial,A2
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A3
G VI,AFM,CHARTER,SA17
LJ 55,B. G. S.,CHARTER,B4
ATR 72,CITILINK,Komersial,B5
A 320,BATIK AIR,Komersial,SA18
LJ 55,B. G. S.,CHARTER,NSA14
B 738,GARUDA,Komersial,B2
B 733,JAYAWIJAYA,cargo,SA19
KING AIR,DEPHUB,CHARTER,B13
EMB 135,KARISMA,CHARTER,B4
B 733,TRI MG,cargo,B11
A 320,BATIK AIR,Komersial,B8
EMB 135,IAT,CHARTER,B3
GLEX,PREMI,CHARTER,B6
A 320,BATIK AIR,Komersial,A2
GLEX,PREMI,CHARTER,B2
B 733,TRIGANA,cargo,B12
ATR 72,FLY JAYA,Komersial,A3
B 738,TNI AU,Militer,BASEOPS
A 320,BATIK AIR,Komersial,A1
A 320,BATIK AIR,Komersial,B8
CL 850,JETSET,CHARTER,B7
ATR 72,CITILINK,Komersial,B2
A 320,BATIK AIR,Komersial,B3
C 208,SUSI AIR,Komersial,B1
B 735,CITILINK,Komersial,B9
B 733,TRI MG,cargo,B11
A 320,BATIK AIR,Komersial,B5
A 320,BATIK AIR,Komersial,A1
B 738,GARUDA,Komersial,B2
G V,AFM,CHARTER,B4
B 733,JAYAWIJAYA,cargo,B10
A 320,BATIK AIR,Komersial,B6
A 320,CITILINK,Komersial,B1
B 735,CITILINK,Komersial,SA15
ATR 72,FLY JAYA,Komersial,A3
C 208,SUSI AIR,Komersial,A0
ATR 42,IAT,CHARTER,B5
ATR 72,CITILINK,Komersial,A3
A 320,BATIK AIR,Komersial,A1
DO 328,JAS,CHARTER,A2
A 320,BATIK AIR,Komersial,B8
G 500,JIP,CHARTER,B3
A 320,BATIK AIR,Komersial,B1
DO 328,JAS,CHARTER,SA02
B 734,B. B. N.,CHARTER,B12
CN 235,JAS,CHARTER,B6
A 320,BATIK AIR,Komersial,A1
CL 850,JETSET,CHARTER,B5
ATR 72,FLY JAYA,Komersial,B2
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B8
A 320,CITILINK,Komersial,B1
CL 850,JETSET,CHARTER,SA07
B 738,GARUDA,Komersial,B2
A 320,CITILINK,Komersial,B3
ATR 72,CITILINK,Komersial,A2
A 320,BATIK AIR,Komersial,A1
A 320,BATIK AIR,Komersial,A3
C 208,P.T.N,CHARTER,SA18
B 733,TRIGANA,cargo,B12
C 208,PTN,CHARTER,SA12
GLEX,PTN,CHARTER,SA13
G IV,JETSET,CHARTER,B6
GLEX,PREMI,CHARTER,B3
G IV,JETSET,CHARTER,SA18
A 320,BATIK AIR,Komersial,A1
A 320,CITILINK,Komersial,A3
A 320,BATIK AIR,Komersial,B7
A 320,BATIK AIR,Komersial,B1
B 738,GARUDA,Komersial,B2
B 738,TNI AU,Militer,BASEOPS
B 733,JAYAWIJAYA,cargo,B10
GLEX,AFM,CHARTER,B4
C 208,PTN,CHARTER,SA18
GLEX,AFM,CHARTER,SA19
EMB 135,KARISMA,CHARTER,B6
A 320,BATIK AIR,Komersial,SA20
EMB 135,KARISMA,CHARTER,SA22
A 320,BATIK AIR,Komersial,SA21
CL 850,JETSET,CHARTER,B7
ATR 72,PELITA,Komersial,A1
LJ 55,AMM,CHARTER,B9
B 733,TRI MG,cargo,B13
B 735,CITILINK,Komersial,B11
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,B1
G VI,KARISMA,CHARTER,B4
ATR 72,FLY JAYA,Komersial,B2
B 733,TRIGANA,cargo,B13
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A1
CL 850,PREMI,CHARTER,B3
A 320,BATIK AIR,Komersial,A3
B 735,CITILINK,Komersial,B12
ATR 72,CITILINK,Komersial,B1
LJ 55,B. G. S.,CHARTER,B6
A 320,BATIK AIR,Komersial,A2
GLEX,AFM,CHARTER,B7
LJ 55,B. G. S.,CHARTER,NSA14
B 733,TRI MG,cargo,B11
A 320,BATIK AIR,Komersial,A3
ATR 72,FLY JAYA,Komersial,B1
B 734,B. B. N.,CHARTER,B10
A 320,CITILINK,Komersial,A3
B 738,GARUDA,Komersial,B2
G 500,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,A2
B 733,JAYAWIJAYA,cargo,B9
ATR 72,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,B5
CT 700,KARISMA,CHARTER,B5
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A1
DO 328,JAS,CHARTER,B10
ATR 72,FLY JAYA,Komersial,B1
DO 328,JAS,CHARTER,SA06
A 320,CITILINK,Komersial,B1
ATR 72,PELITA,Komersial,A1
G VI,KARISMA,CHARTER,B4
A 320,BATIK AIR,Komersial,A3
B 738,GARUDA,Komersial,B2
EMB 135,KARISMA,CHARTER,B5
ATR 72,CITILINK,Komersial,A2
BBJ,JIP,CHARTER,BASEOPS
A 320,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B5
B 735,CITILINK,Komersial,B13
G VI,KARISMA,CHARTER,SA07
B 734,B. B. N.,CHARTER,B12
BBJ,JIP,CHARTER,SA04
A 320,BATIK AIR,Komersial,B1
G 500,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,A3
B 733,TRIGANA,cargo,B10
A 320,BATIK AIR,Komersial,B1
A 320,CITILINK,Komersial,A3
C 172,GENESA,CHARTER,SA15
G IV,JETSET,CHARTER,RE01
A 320,BATIK AIR,Komersial,B7
B 738,GARUDA,Komersial,B2
G 500,JIP,CHARTER,RE02
G VI,AFM,CHARTER,B4
B 734,B. B. N.,CHARTER,SA15
C 172,GENESA,CHARTER,SA17
ATR 72,TAS,CHARTER,B4
A 320,BATIK AIR,Komersial,B1
G VI,PREMI,CHARTER,B3
B 733,TRI MG,cargo,B11
EMB 135,KARISMA,CHARTER,B5
G 500,JIP,CHARTER,B4
A 320,BATIK AIR,Komersial,A2
G VI,KARISMA,CHARTER,B3
DO 328,JAS,CHARTER,B10
ATR 72,FLYJAYA,CHARTER,B2
C 208,SUSI AIR,Komersial,B3
G 500,JIP,CHARTER,RE02
CT 700,KARISMA,CHARTER,B5
C 208,SUSI AIR,Komersial,B4
B 733,TRIGANA,cargo,B12
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A1
G IV,JETSET,CHARTER,B7
ATR 72,CITILINK,Komersial,B1
A 320,BATIK AIR,Komersial,A2
B 735,CITILINK,Komersial,B11
C 208,SUSI AIR,Komersial,A3
A 320,BATIK AIR,Komersial,B2
A 320,BATIK AIR,Komersial,A1
HK 900,,CHARTER,B3
ATR 72,FLYJAYA,CHARTER,A3
C 208,SUSI AIR,Komersial,A0
B 738,GARUDA,Komersial,B2
A 320,CITILINK,Komersial,B1
G 500,JIP,CHARTER,B4
G VI,KARISMA,CHARTER,B6
A 320,BATIK AIR,Komersial,A1
B 734,B. B. N.,CHARTER,B12
A 320,BATIK AIR,Komersial,A2
A 320,BATIK AIR,Komersial,A3
EMB 135,KARISMA,CHARTER,B5
ATR 72,CITILINK,Komersial,B1
EMB 135,KARISMA,CHARTER,SA14
A 320,BATIK AIR,Komersial,B1
A 320,BATIK AIR,Komersial,A1
ATR 72,FLYJAYA,CHARTER,A2
A 320,CITILINK,Komersial,B1
ATR 72,PELITA,Komersial,A1
B 733,TRIGANA,cargo,B13
G VI,PREMI,CHARTER,B3
